,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
74,SG_74,2/3/16,DWDS_D,2016,site_D5,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,3766.03009,1.05174755,0.153449914,0.000282788,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,17.7,NA,0.42,NA,NA
75,SG_75,2/3/16,DWDS_D,2016,site_D6,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,221.668466,1.15044709,0.26783132,0.005517625,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19.2,NA,1.14,NA,NA
76,SG_76,2/3/16,DWDS_E,2016,site_E1,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,76.8642426,2.51813336,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,23.6,NA,1.98,NA,NA
77,SG_77,2/3/16,DWDS_E,2016,site_E2,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,89.9527833,3.55679431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94,22.2,NA,2.04,NA,NA
78,SG_78,2/3/16,DWDS_E,2016,site_E3,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,31.6995218,2.88350266,1.145179565,0.122409587,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,23,NA,2.14,NA,NA
79,SG_79,2/3/16,DWDS_E,2016,site_E4,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,39.9842067,2.38336925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,23.1,NA,1.52,NA,NA
80,SG_80,2/3/16,DWDS_E,2016,site_E5,other_site_in_DWDS_E,Chlorine,No,Accuri,NA,NA,NA,81.4919174,2.06335071,1.134349093,0.03213238,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93,22.9,NA,1.29,NA,NA
81,SG_81,2/3/16,DWDS_D,2016,site_D7,other_site_in_DWDS_D,Chlorine,No,Accuri,NA,NA,NA,69.2290856,2.53452453,0.932337184,0.039326958,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,21.8,NA,1.48,NA,NA
90,SG_90,4/21/16,DWDS_C,2016,site_C1,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,2877.95008,1.37679588,0.14574871,0.000354487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,NA,NA,NA
91,SG_91,4/21/16,DWDS_C,2016,site_C2,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,1886.04771,1.24707081,0.146000694,0.000666297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA
92,SG_92,4/21/16,DWDS_C,2016,site_C3,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,6441.78823,1.96458946,0.465076349,0.000217961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA
93,SG_93,4/21/16,DWDS_C,2016,site_C4,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,10075.35816,1.190036367,0.354875068,0.000117248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA
94,SG_94,4/21/16,DWDS_C,2016,site_C5,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,1695.7964,1.06862489,0.195868988,0.000643928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,NA,NA,NA
95,SG_95,4/21/16,DWDS_C,2016,site_C6,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,2973.92347,1.03354778,0.081675454,0.000473582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,NA,NA,NA
96,SG_96,4/21/16,DWDS_C,2016,site_C7,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,1931.39164,1.63375456,0.158087526,0.000682092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,NA,NA,NA
97,SG_97,4/21/16,DWDS_C,2016,site_C8,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,5491.36702,1.08192691,0.035810108,0.000293925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA
98,SG_98,4/21/16,DWDS_C,2016,site_C9,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,2745.45437,1.08962287,0.127861612,0.000420596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,NA
99,SG_99,4/21/16,DWDS_C,2016,site_C10,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,82059.0725,1.05205452,0.483838325,1.45E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA
100,SG_100,4/21/16,DWDS_C,2016,site_C11,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,146927.974,1.02998324,0.684322054,8.40E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA
101,SG_101,4/21/16,DWDS_C,2016,site_C12,other_site_in_DWDS_C,Chloramine,No,Accuri,NA,NA,NA,181093.508,1.02058273,0.634201498,7.76E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA
108,SG_108,7/20/16,DWDS_B,2016,site_B1,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,2324.19968,1.09909765,0.318907877,0.000512424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
109,SG_109,7/20/16,DWDS_B,2016,site_B2,other_site_in_DWDS_B,Chlorine,No,Accuri,68,NA,NA,38134.8555,1.01138399,0.778835575,3.37E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
110,SG_110,7/20/16,DWDS_B,2016,site_B3,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,3230.44887,1.06575692,0.460874108,0.000388958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
111,SG_111,7/20/16,DWDS_B,2016,site_B4,other_site_in_DWDS_B,Chlorine,No,Accuri,69,NA,NA,5682.416,1.48301346,0.313259832,0.000216882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
113,SG_113,7/20/16,DWDS_B,2016,site_B5,other_site_in_DWDS_B,Chlorine,No,Accuri,72,NA,NA,6869.46158,1.02583372,0.350461033,0.000174758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
115,SG_115,7/20/16,DWDS_B,2016,site_B6,other_site_in_DWDS_B,Chlorine,No,Accuri,73,NA,NA,5272.48639,1.05817316,0.217886448,0.000228735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA
116,SG_116,7/20/16,DWDS_B,2016,site_B7,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,24990.3297,1.00635601,0.771669711,5.13E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
117,SG_117,7/20/16,DWDS_B,2016,site_B8,other_site_in_DWDS_B,Chlorine,No,Accuri,74,NA,NA,41960.6433,1.02817231,0.05409436,2.72E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
118,SG_118,7/20/16,DWDS_B,2016,site_B9,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,3265.31665,1.07314801,0.555302926,0.000383332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
119,SG_119,7/20/16,DWDS_B,2016,site_B10,other_site_in_DWDS_B,Chlorine,No,Accuri,NA,NA,NA,7346.15435,1.05924931,0.509434677,0.000165124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
120,SG_120,7/27/16,DWDS_A,2016,site_A1,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,148143.904,1.04475754,0.903739428,9.54E-06,NA,NA,NA,NA,NA,NA,69.7,1,NA,8.34,NA,0.3,0.14,NA,NA
121,SG_121,7/27/16,DWDS_A,2016,site_A11,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,6793.47236,1.05535799,0.636391664,0.000204338,NA,NA,NA,NA,NA,NA,7.5,1,NA,8.66,26.1,0.62,0.49,NA,NA
122,SG_122,7/27/16,DWDS_A,2016,site_A2,other_site_in_DWDS_A,Chlorine,No,Accuri,NA,exclude,NA,10561.0017,1.13237211,0.645547628,0.000127736,NA,NA,NA,NA,NA,NA,11.1,1,NA,8.66,NA,1.18,1.02,NA,NA
